Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin Date	Delta Time (s)	Begin Clock Time	Sonotype	Group	Type Spe	obs
447	Spectrogram 1	1	196430.829400000	196432.135100000	4021.069	5591.661	20180908_060000_13A_24H.wav	2018/9/8	1.3057	6:12:56.8294	104	b	0	
2546	Spectrogram 1	1	196369.223601341	196370.357001735	3911.548	5615.012	20180908_060000_13A_24H.wav	2018/9/8	1.1334	6:11:54.2236	104	b	0	
2547	Spectrogram 1	1	196372.522303978	196373.824868609	3931.589	5615.012	20180908_060000_13A_24H.wav	2018/9/8	1.3026	6:11:58.5223	104	b	0	
2548	Spectrogram 1	1	196364.420770031	196365.621836119	3971.670	5625.032	20180908_060000_13A_24H.wav	2018/9/8	1.2011	6:11:49.4208	104	b	0	
2549	Spectrogram 1	1	196360.462326867	196361.612643684	3981.691	5625.032	20180908_060000_13A_24H.wav	2018/9/8	1.1503	6:11:45.4623	104	b	0	
2550	Spectrogram 1	1	196351.930193741	196353.182009101	3991.711	5574.930	20180908_060000_13A_24H.wav	2018/9/8	1.2518	6:11:37.9302	104	b	0	
2551	Spectrogram 1	1	196346.516938132	196347.836419187	3961.650	5645.073	20180908_060000_13A_24H.wav	2018/9/8	1.3195	6:11:32.5169	104	b	0	
2552	Spectrogram 1	1	196332.830626196	196334.133190827	3961.650	5615.012	20180908_060000_13A_24H.wav	2018/9/8	1.3026	6:11:18.8306	104	b	0	
2553	Spectrogram 1	1	196338.852873061	196340.121604844	4001.731	5645.073	20180908_060000_13A_24H.wav	2018/9/8	1.2687	6:11:24.8529	104	b	0	
448	Spectrogram 1	1	196392.427100000	196394.148000000	4457.620	5759.422	20180908_060000_13A_24H.wav	2018/9/8	1.7209	6:12:17.4271	105	b	1	
449	Spectrogram 1	1	196397.839400000	196399.415500000	4554.881	5811.794	20180908_060000_13A_24H.wav	2018/9/8	1.5761	6:12:23.8394	105	b	0	
2554	Spectrogram 1	1	196353.396592169	196355.037485275	4192.958	5436.080	20180908_060000_13A_24H.wav	2018/9/8	1.6409	6:11:38.3966	105	b	0	
2555	Spectrogram 1	1	196363.343449351	196364.544515439	4150.818	5351.801	20180908_060000_13A_24H.wav	2018/9/8	1.2011	6:11:48.3434	105	b	0	
2556	Spectrogram 1	1	196350.074717567	196351.495697165	4108.679	5436.080	20180908_060000_13A_24H.wav	2018/9/8	1.4210	6:11:35.0747	105	b	0	
461	Spectrogram 1	1	196400.435045025	196411.700600000	3571.479	14531.833	20180908_060000_13A_24H.wav	2018/9/8	11.2656	6:12:25.4350	106	i	1	
466	Spectrogram 1	1	196420.183500000	196434.500000000	3457.722	11467.552	20180908_060000_13A_24H.wav	2018/9/8	14.3165	6:12:45.1835	106	i	0	
467	Spectrogram 1	1	196384.480900000	196385.726100000	5894.554	22050.000	20180908_060000_13A_24H.wav	2018/9/8	1.2452	6:12:09.4809	107	i	1	
468	Spectrogram 1	1	196373.646600000	196375.423100000	6526.765	22007.703	20180908_060000_13A_24H.wav	2018/9/8	1.7765	6:11:59.6466	107	i	0	
469	Spectrogram 1	1	196376.060600000	196379.630000000	3555.399	7423.632	20180908_060000_13A_24H.wav	2018/9/8	3.5694	6:12:01.0606	109	i	0	
470	Spectrogram 1	1	196390.971100000	196391.685000000	3854.011	6765.104	20180908_060000_13A_24H.wav	2018/9/8	0.7139	6:12:16.9711	109	i	1	
499	Spectrogram 1	1	196396.101584844	196396.742262568	4243.729	7386.231	20180908_060000_13A_24H.wav	2018/9/8	0.6407	6:12:21.1016	109	i	0	
